 sU%M2,,,,,False
 sU'(b,,"Arris Interactive, L.L.C.",TG862G,9/08/2022 23:05,False
" sU'%""",,"Arris Interactive, L.L.C.",TG862G,9/08/2022 23:05,False
 sU'-r,,,,,False
 sU'-B,,,,,False
 sU'/r,,"Arris Interactive, L.L.C.",TG862G,2/07/2022 23:06,False
 sU'9R,,"Arris Interactive, L.L.C.",TG862G,9/08/2022 23:05,False
" sU'd""",,"Arris Interactive, L.L.C.",TG862G,9/08/2022 23:05,False
 sU'kB,,"Arris Interactive, L.L.C.",TG862G,24/01/2022 23:07,False
" sU'H""",,"Arris Interactive, L.L.C.",TG862G,21/12/2021 23:05,False
 sU'GR,,"Arris Interactive, L.L.C.",TG862G,9/08/2022 23:05,False
 sU'Nr,,"Arris Interactive, L.L.C.",TG862G,9/08/2022 23:05,False
 sU'[r,,"Arris Interactive, L.L.C.",TG862G,19/01/2022 23:07,False
 sU'U2,,"Arris Interactive, L.L.C.",TG862G,16/01/2022 23:06,False
 sU( R,,"Arris Interactive, L.L.C.",TG862G,9/08/2022 23:05,False
" sU(3""",,"Arris Interactive, L.L.C.",TG862G,9/08/2022 23:05,False
 sU(3R,,"Arris Interactive, L.L.C.",TG862G,9/08/2022 23:05,False
" sU(9""",,"Arris Interactive, L.L.C.",TG862G,9/08/2022 23:05,False
" sU(=""",,"Arris Interactive, L.L.C.",TG862G,9/08/2022 23:05,False
 sU(A2,,"Arris Interactive, L.L.C.",TG862G,6/05/2022 23:08,False
 sU(CB,,"Arris Interactive, L.L.C.",TG862G,27/03/2022 23:06,False
 sU(CR,,"Arris Interactive, L.L.C.",TG862G,7/03/2022 23:04,False
